2Cr-34-14|É encontrado o rolo da lei
2Cr-35-1|A celebração da Páscoa
2Cr-35-20|A morte de Josias
2Cr-36-1|Jeoacaz é rei de Judá
2Cr-36-5|Joaquim é rei de Judá
2Cr-36-9|Jeconias é rei de Judá
2Cr-36-11|Zedequias é rei de Judá
2Cr-36-15|A queda de Jerusalém
Es-1-1|Ciro ajuda os exilados a voltarem
Es-2-1|A lista dos retornados
Es-3-1|A reconstrução do altar
Es-3-7|Reparação dos alicerces do templo
Es-4-1|Oposição à reconstrução
Es-5-1|A carta de Tatenai a Dario
Es-6-1|O decreto de Dario
Es-6-13|A consagração do templo
Es-6-19|Celebração da Páscoa
Es-7-1|Esdras vem a Jerusalém
Es-7-11|Carta de Artaxerxes a Esdras
Es-8-1|Os chefes de família que voltaram com Esdras
Es-8-15|O retorno a Jerusalém
Es-9-1|A oração de Esdras devido aos casamentos mistos
Es-10-1|A confissão do pecado
Es-10-16|Lista dos prevaricadores
Ne-1-1|A oração de Neemias
